PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd,sprtrn
84398,01/03/2007,2,SPY,SPDR TRUST,78462F10,141.37000,-0.001765,449972,-0.001346,-0.000159,-0.001199
84398,01/04/2007,2,SPY,SPDR TRUST,78462F10,141.67000,0.002122,449972,0.000546,0.000591,0.001228
84398,01/05/2007,2,SPY,SPDR TRUST,78462F10,140.53999,-0.007976,449972,-0.007288,-0.009809,-0.006085
84398,01/08/2007,2,SPY,SPDR TRUST,78462F10,141.19000,0.004625,449972,0.002567,0.001731,0.002220
84398,01/09/2007,2,SPY,SPDR TRUST,78462F10,141.07001,-0.000850,449972,-0.000001,0.000262,-0.000517
84398,01/10/2007,2,SPY,SPDR TRUST,78462F10,141.53999,0.003332,449972,0.002095,0.001338,0.001940
84398,01/11/2007,2,SPY,SPDR TRUST,78462F10,142.16000,0.004380,449972,0.007323,0.007760,0.006340
84398,01/12/2007,2,SPY,SPDR TRUST,78462F10,143.24001,0.007597,449972,0.006142,0.006821,0.004853
84398,01/16/2007,2,SPY,SPDR TRUST,78462F10,142.96001,-0.001955,449972,0.000314,0.000561,0.000818
84398,01/17/2007,2,SPY,SPDR TRUST,78462F10,143.02000,0.000420,449972,-0.000623,-0.000106,-0.000894
84398,01/18/2007,2,SPY,SPDR TRUST,78462F10,142.53999,-0.003356,449972,-0.004685,-0.007338,-0.002971
84398,01/19/2007,2,SPY,SPDR TRUST,78462F10,142.82001,0.001964,449972,0.004345,0.005339,0.002895
84398,01/22/2007,2,SPY,SPDR TRUST,78462F10,142.38000,-0.003081,449972,-0.005372,-0.004337,-0.005278
84398,01/23/2007,2,SPY,SPDR TRUST,78462F10,142.80000,0.002950,449972,0.005218,0.006200,0.003542
84398,01/24/2007,2,SPY,SPDR TRUST,78462F10,143.95000,0.008053,449972,0.008812,0.006918,0.008501
84398,01/25/2007,2,SPY,SPDR TRUST,78462F10,142.25999,-0.011740,449972,-0.010735,-0.007872,-0.011270
84398,01/26/2007,2,SPY,SPDR TRUST,78462F10,142.16000,-0.000703,449972,0.000091,0.003034,-0.001208
84398,01/29/2007,2,SPY,SPDR TRUST,78462F10,142.05000,-0.000774,449972,0.000142,0.003428,-0.001097
84398,01/30/2007,2,SPY,SPDR TRUST,78462F10,142.78999,0.005209,449972,0.005778,0.005123,0.005772
84398,01/31/2007,2,SPY,SPDR TRUST,78462F10,143.75000,0.006723,445872,0.006343,0.003520,0.006593
84398,02/01/2007,2,SPY,SPDR TRUST,78462F10,144.61000,0.005983,445872,0.006259,0.006416,0.005354
84398,02/02/2007,2,SPY,SPDR TRUST,78462F10,144.81000,0.001383,445872,0.001256,0.002299,0.001694
84398,02/05/2007,2,SPY,SPDR TRUST,78462F10,144.85001,0.000276,445872,-0.000608,-0.001074,-0.000967
84398,02/06/2007,2,SPY,SPDR TRUST,78462F10,144.89000,0.000276,445872,0.001509,0.003197,0.000698
84398,02/07/2007,2,SPY,SPDR TRUST,78462F10,145.21001,0.002209,445872,0.002194,0.003716,0.001395
84398,02/08/2007,2,SPY,SPDR TRUST,78462F10,145.02000,-0.001308,445872,-0.000428,0.001075,-0.001179
84398,02/09/2007,2,SPY,SPDR TRUST,78462F10,143.94000,-0.007447,445872,-0.006907,-0.004901,-0.007077
84398,02/12/2007,2,SPY,SPDR TRUST,78462F10,143.45000,-0.003404,445872,-0.003885,-0.002915,-0.003261
84398,02/13/2007,2,SPY,SPDR TRUST,78462F10,144.66000,0.008435,445872,0.008050,0.005359,0.007597
84398,02/14/2007,2,SPY,SPDR TRUST,78462F10,145.61000,0.006567,445872,0.007226,0.004639,0.007644
84398,02/15/2007,2,SPY,SPDR TRUST,78462F10,145.80000,0.001305,445872,0.001728,0.001444,0.001038
84398,02/16/2007,2,SPY,SPDR TRUST,78462F10,145.73000,-0.000480,445872,0.000505,0.002640,-0.000872
84398,02/20/2007,2,SPY,SPDR TRUST,78462F10,146.03999,0.002127,445872,0.003575,0.005982,0.002844
84398,02/21/2007,2,SPY,SPDR TRUST,78462F10,145.98000,-0.000411,445872,-0.000291,0.001667,-0.001404
84398,02/22/2007,2,SPY,SPDR TRUST,78462F10,145.87000,-0.000754,445872,-0.000382,0.002277,-0.000858
84398,02/23/2007,2,SPY,SPDR TRUST,78462F10,145.30000,-0.003908,445872,-0.002571,0.000068,-0.003564
84398,02/26/2007,2,SPY,SPDR TRUST,78462F10,145.17000,-0.000895,445872,-0.001259,-0.001080,-0.001254
84398,02/27/2007,2,SPY,SPDR TRUST,78462F10,139.50000,-0.039058,445872,-0.034111,-0.031231,-0.034725
84398,02/28/2007,2,SPY,SPDR TRUST,78462F10,140.92999,0.010251,421144,0.004746,0.003802,0.005561
84398,03/01/2007,2,SPY,SPDR TRUST,78462F10,140.50999,-0.002980,421144,-0.002848,-0.004932,-0.002595
84398,03/02/2007,2,SPY,SPDR TRUST,78462F10,138.67000,-0.013095,421144,-0.012475,-0.011435,-0.011403
84398,03/05/2007,2,SPY,SPDR TRUST,78462F10,137.35001,-0.009519,421144,-0.012016,-0.017184,-0.009408
84398,03/06/2007,2,SPY,SPDR TRUST,78462F10,139.70000,0.017110,421144,0.016743,0.017683,0.015494
84398,03/07/2007,2,SPY,SPDR TRUST,78462F10,139.56000,-0.001002,421144,-0.001346,0.000064,-0.002465
84398,03/08/2007,2,SPY,SPDR TRUST,78462F10,140.74001,0.008455,421144,0.007243,0.005598,0.007127
84398,03/09/2007,2,SPY,SPDR TRUST,78462F10,140.78000,0.000284,421144,0.001629,0.001708,0.000685
84398,03/12/2007,2,SPY,SPDR TRUST,78462F10,140.99001,0.001492,421144,0.003146,0.004002,0.002673
84398,03/13/2007,2,SPY,SPDR TRUST,78462F10,138.25000,-0.019434,421144,-0.020152,-0.017483,-0.020368
84398,03/14/2007,2,SPY,SPDR TRUST,78462F10,139.28000,0.007450,421144,0.005427,0.002280,0.006691
84398,03/15/2007,2,SPY,SPDR TRUST,78462F10,139.47000,0.001364,421144,0.004783,0.006076,0.003684
84398,03/16/2007,2,SPY,SPDR TRUST,78462F10,138.53000,-0.002787,421144,-0.003609,-0.003144,-0.003828
84398,03/19/2007,2,SPY,SPDR TRUST,78462F10,140.20000,0.012055,421144,0.011054,0.007394,0.010894
84398,03/20/2007,2,SPY,SPDR TRUST,78462F10,140.97000,0.005492,421144,0.006793,0.005634,0.006334
84398,03/21/2007,2,SPY,SPDR TRUST,78462F10,143.28999,0.016457,421144,0.016755,0.012048,0.017081
84398,03/22/2007,2,SPY,SPDR TRUST,78462F10,143.17999,-0.000768,421144,-0.000143,0.002375,-0.000348
84398,03/23/2007,2,SPY,SPDR TRUST,78462F10,143.39000,0.001467,421144,0.001714,0.002268,0.001094
84398,03/26/2007,2,SPY,SPDR TRUST,78462F10,143.20000,-0.001325,421144,0.000552,0.000050,0.000968
