PERMNO,date,EXCHCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
84398,1/3/2007,2,SPY,SPDR TRUST,78462F10,449972,141.37,-0.001765,-0.001346,-0.000159
84398,1/4/2007,2,SPY,SPDR TRUST,78462F10,449972,141.67,0.002122,0.000546,0.000591
84398,1/5/2007,2,SPY,SPDR TRUST,78462F10,449972,140.53999,-0.007976,-0.007288,-0.009809
84398,1/8/2007,2,SPY,SPDR TRUST,78462F10,449972,141.19,0.004625,0.002567,0.001731
84398,1/9/2007,2,SPY,SPDR TRUST,78462F10,449972,141.07001,-0.00085,-0.000001,0.000262
84398,1/10/2007,2,SPY,SPDR TRUST,78462F10,449972,141.53999,0.003332,0.002095,0.001338
84398,1/11/2007,2,SPY,SPDR TRUST,78462F10,449972,142.16,0.00438,0.007323,0.00776
84398,1/12/2007,2,SPY,SPDR TRUST,78462F10,449972,143.24001,0.007597,0.006142,0.006821
84398,1/16/2007,2,SPY,SPDR TRUST,78462F10,449972,142.96001,-0.001955,0.000314,0.000561
84398,1/17/2007,2,SPY,SPDR TRUST,78462F10,449972,143.02,0.00042,-0.000623,-0.000106
84398,1/18/2007,2,SPY,SPDR TRUST,78462F10,449972,142.53999,-0.003356,-0.004685,-0.007338
84398,1/19/2007,2,SPY,SPDR TRUST,78462F10,449972,142.82001,0.001964,0.004345,0.005339
84398,1/22/2007,2,SPY,SPDR TRUST,78462F10,449972,142.38,-0.003081,-0.005372,-0.004337
84398,1/23/2007,2,SPY,SPDR TRUST,78462F10,449972,142.8,0.00295,0.005218,0.0062
84398,1/24/2007,2,SPY,SPDR TRUST,78462F10,449972,143.95,0.008053,0.008812,0.006918
84398,1/25/2007,2,SPY,SPDR TRUST,78462F10,449972,142.25999,-0.01174,-0.010735,-0.007872
84398,1/26/2007,2,SPY,SPDR TRUST,78462F10,449972,142.16,-0.000703,0.000091,0.003034
84398,1/29/2007,2,SPY,SPDR TRUST,78462F10,449972,142.05,-0.000774,0.000142,0.003428
84398,1/30/2007,2,SPY,SPDR TRUST,78462F10,449972,142.78999,0.005209,0.005778,0.005123
84398,1/31/2007,2,SPY,SPDR TRUST,78462F10,445872,143.75,0.006723,0.006343,0.00352
84398,2/1/2007,2,SPY,SPDR TRUST,78462F10,445872,144.61,0.005983,0.006259,0.006416
84398,2/2/2007,2,SPY,SPDR TRUST,78462F10,445872,144.81,0.001383,0.001256,0.002299
84398,2/5/2007,2,SPY,SPDR TRUST,78462F10,445872,144.85001,0.000276,-0.000608,-0.001074
84398,2/6/2007,2,SPY,SPDR TRUST,78462F10,445872,144.89,0.000276,0.001509,0.003197
84398,2/7/2007,2,SPY,SPDR TRUST,78462F10,445872,145.21001,0.002209,0.002194,0.003716
