PERMNO,date,EXCHCD,SICCD,TICKER,COMNAM,CUSIP,SHROUT,PRC,RET,vwretd,ewretd
84398,1/31/2000,2,6726,SPY,SPDR TRUST,78462F10,27109,139.625,-0.049362,-0.039607,0.050642
84398,2/29/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,137.4375,-0.015667,0.031782,0.120481
84398,3/31/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,150.375,0.096832,0.053499,-0.000464
84398,4/28/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,145.09375,-0.035121,-0.059527,-0.088473
84398,5/31/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,142.8125,-0.015723,-0.03887,-0.057337
84398,6/30/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,145.28125,0.019726,0.051603,0.079304
84398,7/31/2000,2,6726,SPY,SPDR TRUST,78462F10,102670,142.90625,-0.016348,-0.017712,-0.019303
84398,8/31/2000,2,6726,SPY,SPDR TRUST,78462F10,149422,152.34375,0.06604,0.075007,0.0593
84398,9/29/2000,2,6726,SPY,SPDR TRUST,78462F10,149422,143.625,-0.054767,-0.051144,-0.040045
84398,10/31/2000,2,6726,SPY,SPDR TRUST,78462F10,149422,142.95313,-0.004678,-0.024495,-0.066833
84398,11/30/2000,2,6726,SPY,SPDR TRUST,78462F10,149422,132.28125,-0.074653,-0.102373,-0.118569
84398,12/29/2000,2,6726,SPY,SPDR TRUST,78462F10,149422,131.1875,-0.005159,0.020423,-0.007053
84398,1/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,137.02,0.044459,0.039599,0.225038
84398,2/28/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,123.95,-0.095388,-0.099103,-0.074519
84398,3/30/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,116.69,-0.056026,-0.070393,-0.072702
84398,4/30/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,124.91,0.070443,0.083831,0.076441
84398,5/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,125.95,0.008326,0.010455,0.062199
84398,6/29/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,122.6,-0.023847,-0.017553,0.007726
84398,7/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,121.35,-0.010196,-0.018298,-0.028403
84398,8/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,114.15,-0.059332,-0.058982,-0.035013
84398,9/28/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,104.44,-0.081831,-0.091485,-0.127787
84398,10/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,105.8,0.013022,0.027836,0.078125
84398,11/30/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,114.05,0.077977,0.078777,0.080799
84398,12/31/2001,2,6726,SPY,SPDR TRUST,78462F10,149422,114.3,0.005636,0.017852,0.057768
84398,1/31/2002,2,6726,SPY,SPDR TRUST,78462F10,256781,113.18,-0.009799,-0.015975,0.018192
84398,2/28/2002,2,6726,SPY,SPDR TRUST,78462F10,257283,111.15,-0.017936,-0.021696,-0.033066
84398,3/28/2002,2,6726,SPY,SPDR TRUST,78462F10,249783,114.52,0.033297,0.044678,0.074653
84398,4/30/2002,2,6726,SPY,SPDR TRUST,78462F10,251883,107.86,-0.058156,-0.049618,-0.003165
84398,5/31/2002,2,6726,SPY,SPDR TRUST,78462F10,271235,107.22,-0.005934,-0.010521,-0.015507
84398,6/28/2002,2,6726,SPY,SPDR TRUST,78462F10,287385,98.96,-0.073742,-0.070249,-0.067317
84398,7/31/2002,2,6726,SPY,SPDR TRUST,78462F10,311335,91.16,-0.07882,-0.081149,-0.107497
84398,8/30/2002,2,6726,SPY,SPDR TRUST,78462F10,330488,91.78,0.006801,0.007979,0.006337
84398,9/30/2002,2,6726,SPY,SPDR TRUST,78462F10,374888,81.79,-0.104728,-0.09992,-0.08449
84398,10/31/2002,2,6726,SPY,SPDR TRUST,78462F10,443438,88.52,0.082284,0.074923,0.042773
84398,11/29/2002,2,6726,SPY,SPDR TRUST,78462F10,465141,93.98,0.061681,0.061271,0.117775
84398,12/31/2002,2,6726,SPY,SPDR TRUST,78462F10,418241,88.23,-0.056546,-0.053313,-0.040159
84398,1/31/2003,2,6726,SPY,SPDR TRUST,78462F10,435441,86.06,-0.024595,-0.023392,0.006068
84398,2/28/2003,2,6726,SPY,SPDR TRUST,78462F10,402895,84.9,-0.013479,-0.01539,-0.021448
84398,3/31/2003,2,6726,SPY,SPDR TRUST,78462F10,465295,84.74,0.002289,0.010325,0.009434
