trd_date,volume,adj_prc_d,symbol,etf_nm
1/3/2000,8164300,104.3268,SPY,SPDR S&P 500
1/4/2000,8089800,100.2469,SPY,SPDR S&P 500
1/5/2000,12177900,100.4263,SPY,SPDR S&P 500
1/6/2000,6227200,98.8123,SPY,SPDR S&P 500
1/7/2000,8066500,104.5509,SPY,SPDR S&P 500
1/10/2000,5741700,104.9096,SPY,SPDR S&P 500
1/11/2000,7503700,103.6543,SPY,SPDR S&P 500
1/12/2000,6907700,102.6231,SPY,SPDR S&P 500
1/13/2000,5158300,104.0129,SPY,SPDR S&P 500
1/14/2000,7437300,105.4251,SPY,SPDR S&P 500
1/18/2000,6488500,104.5958,SPY,SPDR S&P 500
1/19/2000,6157900,105.4476,SPY,SPDR S&P 500
1/20/2000,5800100,103.8336,SPY,SPDR S&P 500
1/21/2000,6244800,103.6094,SPY,SPDR S&P 500
1/24/2000,7896900,100.6728,SPY,SPDR S&P 500
1/25/2000,9942500,101.8161,SPY,SPDR S&P 500
1/26/2000,5158100,101.0091,SPY,SPDR S&P 500
1/27/2000,10922700,100.6056,SPY,SPDR S&P 500
1/28/2000,11916200,97.4673,SPY,SPDR S&P 500
1/31/2000,10768700,100.1124,SPY,SPDR S&P 500
2/1/2000,8419900,101.0988,SPY,SPDR S&P 500
2/2/2000,6205900,101.1884,SPY,SPDR S&P 500
2/3/2000,7997500,102.7128,SPY,SPDR S&P 500
2/4/2000,4925400,102.2868,SPY,SPDR S&P 500
2/7/2000,5845800,102.1299,SPY,SPDR S&P 500
2/8/2000,4936400,103.5198,SPY,SPDR S&P 500
2/9/2000,8511500,101.3453,SPY,SPDR S&P 500
2/10/2000,6690600,101.5471,SPY,SPDR S&P 500
2/11/2000,9849800,99.4848,SPY,SPDR S&P 500
2/14/2000,8528800,100.0676,SPY,SPDR S&P 500
2/15/2000,11078300,101.1996,SPY,SPDR S&P 500
2/16/2000,8845400,99.7089,SPY,SPDR S&P 500
2/17/2000,7584200,99.1933,SPY,SPDR S&P 500
2/18/2000,9409200,97.0638,SPY,SPDR S&P 500
2/22/2000,16415400,96.8172,SPY,SPDR S&P 500
2/23/2000,12119000,97.9605,SPY,SPDR S&P 500
2/24/2000,17375000,95.9878,SPY,SPDR S&P 500
2/25/2000,10559900,95.6403,SPY,SPDR S&P 500
2/28/2000,13397800,97.6466,SPY,SPDR S&P 500
2/29/2000,8242500,98.5881,SPY,SPDR S&P 500
3/1/2000,6868000,99.3054,SPY,SPDR S&P 500
3/2/2000,7600200,99.3727,SPY,SPDR S&P 500
3/3/2000,12770300,101.2333,SPY,SPDR S&P 500
3/6/2000,11967100,100.2469,SPY,SPDR S&P 500
3/7/2000,20062000,98.3079,SPY,SPDR S&P 500
3/8/2000,11808500,98.1846,SPY,SPDR S&P 500
3/9/2000,5500900,101.0539,SPY,SPDR S&P 500
3/10/2000,7924600,100.5159,SPY,SPDR S&P 500
3/13/2000,10540500,99.4175,SPY,SPDR S&P 500
3/14/2000,8263900,98.0053,SPY,SPDR S&P 500
3/15/2000,10300800,100.2918,SPY,SPDR S&P 500
3/16/2000,25601400,104.9768,SPY,SPDR S&P 500
3/17/2000,10272900,105.6689,SPY,SPDR S&P 500
3/20/2000,12502300,105.1295,SPY,SPDR S&P 500
3/21/2000,13612600,107.287,SPY,SPDR S&P 500
3/22/2000,8260000,107.9386,SPY,SPDR S&P 500
3/23/2000,11654500,109.7814,SPY,SPDR S&P 500
3/24/2000,11462900,110.4332,SPY,SPDR S&P 500
3/27/2000,8798600,109.2646,SPY,SPDR S&P 500
3/28/2000,6334400,108.6353,SPY,SPDR S&P 500
3/29/2000,6747500,108.7477,SPY,SPDR S&P 500
3/30/2000,9491900,106.9274,SPY,SPDR S&P 500
3/31/2000,9249100,108.1409,SPY,SPDR S&P 500
4/3/2000,8508200,108.7702,SPY,SPDR S&P 500
4/4/2000,19585500,107.9612,SPY,SPDR S&P 500
4/5/2000,8387200,107.287,SPY,SPDR S&P 500
4/6/2000,6378500,108.2195,SPY,SPDR S&P 500
4/7/2000,6023600,108.905,SPY,SPDR S&P 500
4/10/2000,9624200,108.478,SPY,SPDR S&P 500
4/11/2000,9006400,108.1634,SPY,SPDR S&P 500
4/12/2000,10779200,105.1969,SPY,SPDR S&P 500
4/13/2000,12225800,103.7362,SPY,SPDR S&P 500
4/14/2000,29604000,97.8033,SPY,SPDR S&P 500
4/17/2000,23918200,101.2192,SPY,SPDR S&P 500
4/18/2000,11069200,103.8935,SPY,SPDR S&P 500
4/19/2000,6553700,102.9272,SPY,SPDR S&P 500
4/20/2000,8537600,103.4216,SPY,SPDR S&P 500
4/24/2000,12893100,102.2979,SPY,SPDR S&P 500
4/25/2000,14102000,106.5453,SPY,SPDR S&P 500
4/26/2000,7711100,105.343,SPY,SPDR S&P 500
4/27/2000,15595300,104.9947,SPY,SPDR S&P 500
4/28/2000,8743400,104.3429,SPY,SPDR S&P 500
5/1/2000,7328300,105.7588,SPY,SPDR S&P 500
5/2/2000,9411900,103.6463,SPY,SPDR S&P 500
5/3/2000,12630700,101.2192,SPY,SPDR S&P 500
5/4/2000,5963600,101.9833,SPY,SPDR S&P 500
5/5/2000,7862400,103.2193,SPY,SPDR S&P 500
5/8/2000,5064100,102.444,SPY,SPDR S&P 500
5/9/2000,5620300,101.6237,SPY,SPDR S&P 500
5/10/2000,10293900,99.3315,SPY,SPDR S&P 500
5/11/2000,7091100,101.6012,SPY,SPDR S&P 500
5/12/2000,5960800,102.7024,SPY,SPDR S&P 500
5/15/2000,4441300,104.4778,SPY,SPDR S&P 500
5/16/2000,8192200,105.4891,SPY,SPDR S&P 500
5/17/2000,5907200,104.3879,SPY,SPDR S&P 500
5/18/2000,4325600,103.1069,SPY,SPDR S&P 500
5/19/2000,6518400,101.4889,SPY,SPDR S&P 500
5/22/2000,10839400,100.7248,SPY,SPDR S&P 500
5/23/2000,7979200,99.2416,SPY,SPDR S&P 500
5/24/2000,11081500,100.8596,SPY,SPDR S&P 500
5/25/2000,8278900,99.1292,SPY,SPDR S&P 500
5/26/2000,4814000,99.2416,SPY,SPDR S&P 500
5/30/2000,5362700,102.4777,SPY,SPDR S&P 500
5/31/2000,6056500,102.7024,SPY,SPDR S&P 500
6/1/2000,8961600,104.5003,SPY,SPDR S&P 500
6/2/2000,8962200,106.3206,SPY,SPDR S&P 500
6/5/2000,6998100,105.8037,SPY,SPDR S&P 500
6/6/2000,4858900,105.3318,SPY,SPDR S&P 500
6/7/2000,4919500,106.0621,SPY,SPDR S&P 500
6/8/2000,5723100,105.6464,SPY,SPDR S&P 500
6/9/2000,3085300,105.4216,SPY,SPDR S&P 500
6/12/2000,3678900,104.1857,SPY,SPDR S&P 500
6/13/2000,6558700,106.1408,SPY,SPDR S&P 500
6/14/2000,6420500,106.3206,SPY,SPDR S&P 500
6/15/2000,5881200,106.5453,SPY,SPDR S&P 500
