cusip,shares,tm,date
"02660910",5630,2000m3,31mar2000
"03522910",19804,2000m3,31mar2000
"05981530",110000,2000m3,31mar2000
"08055510",83000,2000m3,31mar2000
"08467010",105,2000m3,31mar2000
"08467020",495,2000m3,31mar2000
"09367110",158000,2000m3,31mar2000
"11012210",9990,2000m3,31mar2000
"15677T10",47600,2000m3,31mar2000
"17296710",27624,2000m3,31mar2000
"18905410",206428,2000m3,31mar2000
"22420610",637500,2000m3,31mar2000
"24903010",620500,2000m3,31mar2000
"24950910",1242161,2000m3,31mar2000
"29442910",30200,2000m3,31mar2000
"31340030",157700,2000m3,31mar2000
"31358610",3950,2000m3,31mar2000
"31996310",369450,2000m3,31mar2000
"32096010",461900,2000m3,31mar2000
"35346910",1291245,2000m3,31mar2000
"36473010",15800,2000m3,31mar2000
"36665110",57600,2000m3,31mar2000
"36665120",145941,2000m3,31mar2000
"36960410",6600,2000m3,31mar2000
"39783810",4266,2000m3,31mar2000
"43157310",28350,2000m3,31mar2000
"46069010",58300,2000m3,31mar2000
"46115610",156737,2000m3,31mar2000
"47816010",40510,2000m3,31mar2000
"48108810",144900,2000m3,31mar2000
"48268610",195000,2000m3,31mar2000
"53932010",12500,2000m3,31mar2000
"62952610",19800,2000m3,31mar2000
"66978410",59800,2000m3,31mar2000
"71708110",15600,2000m3,31mar2000
"71815410",685868,2000m3,31mar2000
"74271810",34572,2000m3,31mar2000
"75127730",72450,2000m3,31mar2000
"76132M10",15218,2000m3,31mar2000
"76169510",64000,2000m3,31mar2000
"78387G10",6316,2000m3,31mar2000
"81760N10",212897,2000m3,31mar2000
"89102710",32000,2000m3,31mar2000
"89989610",140900,2000m3,31mar2000
"90478470",5357,2000m3,31mar2000
"90942010",225129,2000m3,31mar2000
"91886610",67250,2000m3,31mar2000
"93005920",9102,2000m3,31mar2000
"95081710",12620,2000m3,31mar2000
"96647R10",43000,2000m3,31mar2000
"02660910",5630,2000m6,30jun2000
"03522910",39608,2000m6,30jun2000
"05981530",143300,2000m6,30jun2000
"08055510",83000,2000m6,30jun2000
"08467010",109,2000m6,30jun2000
"08467020",500,2000m6,30jun2000
"09367110",192400,2000m6,30jun2000
"11012210",9990,2000m6,30jun2000
"15677T10",66100,2000m6,30jun2000
"17296710",36832,2000m6,30jun2000
"18905410",166428,2000m6,30jun2000
"22420610",550000,2000m6,30jun2000
"24903010",533800,2000m6,30jun2000
"24950910",1089461,2000m6,30jun2000
"29266R10",23949,2000m6,30jun2000
"29442910",38700,2000m6,30jun2000
"31340030",161500,2000m6,30jun2000
"31358610",3950,2000m6,30jun2000
"31996310",287050,2000m6,30jun2000
"32096010",305100,2000m6,30jun2000
"35346910",933245,2000m6,30jun2000
"36473010",15800,2000m6,30jun2000
"36665110",62100,2000m6,30jun2000
"36665120",145941,2000m6,30jun2000
"36960410",19800,2000m6,30jun2000
"43157310",26950,2000m6,30jun2000
"45068B10",73000,2000m6,30jun2000
"46069010",38300,2000m6,30jun2000
"46115610",229640,2000m6,30jun2000
"47816010",40510,2000m6,30jun2000
"48268610",195000,2000m6,30jun2000
"62952610",18000,2000m6,30jun2000
"66978410",59800,2000m6,30jun2000
"71708110",18900,2000m6,30jun2000
"71815410",566868,2000m6,30jun2000
"74271810",34572,2000m6,30jun2000
"75127730",72450,2000m6,30jun2000
"76169510",64000,2000m6,30jun2000
"78387G10",6316,2000m6,30jun2000
"81760N10",220741,2000m6,30jun2000
"89102710",32000,2000m6,30jun2000
"89989610",130000,2000m6,30jun2000
"90478470",5357,2000m6,30jun2000
"90942010",165329,2000m6,30jun2000
"91886610",67250,2000m6,30jun2000
"93005920",12256,2000m6,30jun2000
"95081710",12415,2000m6,30jun2000
"96647R10",15800,2000m6,30jun2000
"02660910",5630,2000m9,29sep2000
"03522910",39608,2000m9,29sep2000
"05981530",138700,2000m9,29sep2000
"08055510",77000,2000m9,29sep2000
"08467010",114,2000m9,29sep2000
"08467020",550,2000m9,29sep2000
"09367110",178400,2000m9,29sep2000
"11012210",8490,2000m9,29sep2000
"15670010",58300,2000m9,29sep2000
"15677T10",65100,2000m9,29sep2000
"17296710",36830,2000m9,29sep2000
"18905410",162228,2000m9,29sep2000
"22420610",550000,2000m9,29sep2000
"24801910",30000,2000m9,29sep2000
"24903010",444500,2000m9,29sep2000
"24950910",1094700,2000m9,29sep2000
"29266R10",22949,2000m9,29sep2000
"29442910",38700,2000m9,29sep2000
"31340030",159500,2000m9,29sep2000
"31358610",3950,2000m9,29sep2000
"31996310",279350,2000m9,29sep2000
"32096010",239500,2000m9,29sep2000
"35346910",932145,2000m9,29sep2000
"36473010",15800,2000m9,29sep2000
"36665110",62100,2000m9,29sep2000
"36665120",143041,2000m9,29sep2000
"36960410",19800,2000m9,29sep2000
"45068B10",75000,2000m9,29sep2000
"46069010",38300,2000m9,29sep2000
"46115610",221240,2000m9,29sep2000
"47816010",38310,2000m9,29sep2000
"48268610",157000,2000m9,29sep2000
"51384710",102600,2000m9,29sep2000
"57459910",69500,2000m9,29sep2000
"62952610",16500,2000m9,29sep2000
"66978410",109700,2000m9,29sep2000
"71708110",15900,2000m9,29sep2000
"71815410",520768,2000m9,29sep2000
"74271810",34572,2000m9,29sep2000
"75127730",69450,2000m9,29sep2000
"76169510",79000,2000m9,29sep2000
"78387G10",6316,2000m9,29sep2000
"81760N10",274503,2000m9,29sep2000
"89102710",27100,2000m9,29sep2000
"89989610",130000,2000m9,29sep2000
"90478470",5357,2000m9,29sep2000
"91886610",73750,2000m9,29sep2000
"95081710",12415,2000m9,29sep2000
"96647R10",10000,2000m9,29sep2000
"02581610",7500,2000m12,29dec2000
"02660910",5600,2000m12,29dec2000
"03522910",40008,2000m12,29dec2000
"05981530",134500,2000m12,29dec2000
"08055510",76000,2000m12,29dec2000
"08467010",113,2000m12,29dec2000
"08467020",670,2000m12,29dec2000
"09367110",179100,2000m12,29dec2000
"11012210",8300,2000m12,29dec2000
"15670010",59800,2000m12,29dec2000
"15677T10",67100,2000m12,29dec2000
"17296710",38441,2000m12,29dec2000
"18905410",181228,2000m12,29dec2000
"22420610",580000,2000m12,29dec2000
"24801910",30000,2000m12,29dec2000
"24903010",396500,2000m12,29dec2000
"24950910",1115600,2000m12,29dec2000
"29266R10",22149,2000m12,29dec2000
"29442910",40200,2000m12,29dec2000
"31340030",153800,2000m12,29dec2000
"31358610",3950,2000m12,29dec2000
"31996310",281850,2000m12,29dec2000
"32096010",170750,2000m12,29dec2000
"35346910",910645,2000m12,29dec2000
"36473010",16600,2000m12,29dec2000
"36665110",55100,2000m12,29dec2000
"36665120",243457,2000m12,29dec2000
"36960410",28500,2000m12,29dec2000
"39787M10",400,2000m12,29dec2000
"44106M10",50000,2000m12,29dec2000
"44993410",11200,2000m12,29dec2000
"45068B10",79500,2000m12,29dec2000
"46069010",38300,2000m12,29dec2000
"46115610",220340,2000m12,29dec2000
"47816010",38300,2000m12,29dec2000
"48268610",116000,2000m12,29dec2000
"51384710",301000,2000m12,29dec2000
"57174810",9600,2000m12,29dec2000
"57459910",69500,2000m12,29dec2000
"66978410",98200,2000m12,29dec2000
"71708110",15900,2000m12,29dec2000
"71815410",424368,2000m12,29dec2000
"74271810",30072,2000m12,29dec2000
"75127730",67050,2000m12,29dec2000
"76169510",81000,2000m12,29dec2000
"78223310",138200,2000m12,29dec2000
"78387G10",7895,2000m12,29dec2000
"81760N10",268838,2000m12,29dec2000
"89102710",27100,2000m12,29dec2000
"89989610",135000,2000m12,29dec2000
"90297310",17478,2000m12,29dec2000
"90478470",5357,2000m12,29dec2000
"91886610",63750,2000m12,29dec2000
"92343V10",6588,2000m12,29dec2000
"93005920",5502,2000m12,29dec2000
"94106L10",60000,2000m12,29dec2000
"94974610",8480,2000m12,29dec2000
"95081710",11115,2000m12,29dec2000
"96647R10",13000,2000m12,29dec2000
"02581610",7500,2001m3,30mar2001
"02660910",5600,2001m3,30mar2001
"03522910",39608,2001m3,30mar2001
"05981530",108500,2001m3,30mar2001
"08055510",24300,2001m3,30mar2001
"08467010",113,2001m3,30mar2001
"08467020",550,2001m3,30mar2001
"09367110",156100,2001m3,30mar2001
"11012210",7800,2001m3,30mar2001
"15670010",55800,2001m3,30mar2001
"17296710",30248,2001m3,30mar2001
"18905410",185228,2001m3,30mar2001
"22420610",580000,2001m3,30mar2001
"24801910",30000,2001m3,30mar2001
"24903010",394000,2001m3,30mar2001
"24950910",1080200,2001m3,30mar2001
"29266R10",22849,2001m3,30mar2001
"29442910",38200,2001m3,30mar2001
"31340030",154300,2001m3,30mar2001
"31996310",273350,2001m3,30mar2001
"32096010",157550,2001m3,30mar2001
"35346910",892545,2001m3,30mar2001
"36473010",15600,2001m3,30mar2001
"36665110",49100,2001m3,30mar2001
"36665120",243457,2001m3,30mar2001
"36960410",18900,2001m3,30mar2001
"44106M10",50000,2001m3,30mar2001
"46069010",38300,2001m3,30mar2001
"46115610",183140,2001m3,30mar2001
"47816010",37700,2001m3,30mar2001
"48268610",78000,2001m3,30mar2001
"51384710",310200,2001m3,30mar2001
"55254110",157000,2001m3,30mar2001
"57174810",5000,2001m3,30mar2001
"57459910",69500,2001m3,30mar2001
"66978410",106700,2001m3,30mar2001
"71708110",15900,2001m3,30mar2001
"71815410",363100,2001m3,30mar2001
"74271810",28722,2001m3,30mar2001
"75127730",62250,2001m3,30mar2001
"76169510",78000,2001m3,30mar2001
"78223310",150500,2001m3,30mar2001
"78387G10",10526,2001m3,30mar2001
"81760N10",270788,2001m3,30mar2001
"89102710",27100,2001m3,30mar2001
"89989610",70000,2001m3,30mar2001
"90297330",10049,2001m3,30mar2001
"90478470",5357,2001m3,30mar2001
"91886610",53750,2001m3,30mar2001
"92343V10",4392,2001m3,30mar2001
"94106L10",60000,2001m3,30mar2001
"94974610",8480,2001m3,30mar2001
"95081710",11115,2001m3,30mar2001
"02581610",7500,2001m6,29jun2001
"02660910",5600,2001m6,29jun2001
"03522910",39608,2001m6,29jun2001
"03875Q10",21940,2001m6,29jun2001
"05981530",109000,2001m6,29jun2001
"08055510",14500,2001m6,29jun2001
"08467010",113,2001m6,29jun2001
"08467020",580,2001m6,29jun2001
"09367110",146100,2001m6,29jun2001
"11012210",7800,2001m6,29jun2001
"15670010",55800,2001m6,29jun2001
"15677910",109700,2001m6,29jun2001
"18905410",234378,2001m6,29jun2001
"22420610",580000,2001m6,29jun2001
"24903010",394300,2001m6,29jun2001
"24950910",1046200,2001m6,29jun2001
"29266R10",22849,2001m6,29jun2001
"29442910",38200,2001m6,29jun2001
"31340030",113100,2001m6,29jun2001
"31996310",273350,2001m6,29jun2001
"32096010",281100,2001m6,29jun2001
"35346910",886545,2001m6,29jun2001
"36473010",15600,2001m6,29jun2001
"36665110",46600,2001m6,29jun2001
"36665120",143457,2001m6,29jun2001
"36960410",18900,2001m6,29jun2001
"44106M10",50000,2001m6,29jun2001
"44993410",8000,2001m6,29jun2001
"46069010",38300,2001m6,29jun2001
"46115610",183140,2001m6,29jun2001
"47816010",75400,2001m6,29jun2001
"48268610",78000,2001m6,29jun2001
"51384710",323900,2001m6,29jun2001
"55254110",117000,2001m6,29jun2001
"57174810",5000,2001m6,29jun2001
"57459910",69500,2001m6,29jun2001
"66978410",102000,2001m6,29jun2001
"71708110",15900,2001m6,29jun2001
"71815410",286100,2001m6,29jun2001
"74271810",28722,2001m6,29jun2001
"75127730",62250,2001m6,29jun2001
"76169510",78000,2001m6,29jun2001
"78223310",150950,2001m6,29jun2001
"78387G10",10526,2001m6,29jun2001
"81760N10",270788,2001m6,29jun2001
"86415910",46100,2001m6,29jun2001
"89102710",27100,2001m6,29jun2001
"89989610",40000,2001m6,29jun2001
"90297330",10049,2001m6,29jun2001
"90478470",5357,2001m6,29jun2001
"91886610",33750,2001m6,29jun2001
"92343V10",4392,2001m6,29jun2001
"92552R10",49600,2001m6,29jun2001
"93005910",6776,2001m6,29jun2001
"94106L10",109600,2001m6,29jun2001
"94974610",8480,2001m6,29jun2001
"95081710",10960,2001m6,29jun2001
"00282410",4000,2001m9,28sep2001
"02581610",20150,2001m9,28sep2001
"02660910",5600,2001m9,28sep2001
"03522910",32408,2001m9,28sep2001
"03875Q10",21940,2001m9,28sep2001
"05981530",109000,2001m9,28sep2001
"08055510",14500,2001m9,28sep2001
"08467010",116,2001m9,28sep2001
"08467020",590,2001m9,28sep2001
"09367110",271200,2001m9,28sep2001
"11012210",17950,2001m9,28sep2001
"15670010",55800,2001m9,28sep2001
"15677910",109700,2001m9,28sep2001
"15688010",19100,2001m9,28sep2001
"18905410",229578,2001m9,28sep2001
"24903010",333300,2001m9,28sep2001
"24950910",1021800,2001m9,28sep2001
"29266R10",21349,2001m9,28sep2001
"29442910",41200,2001m9,28sep2001
"31340030",102800,2001m9,28sep2001
"31996310",269750,2001m9,28sep2001
"32096010",243100,2001m9,28sep2001
"35346910",883895,2001m9,28sep2001
"36473010",19600,2001m9,28sep2001
"36665110",46600,2001m9,28sep2001
"36665120",143041,2001m9,28sep2001
"36960410",18900,2001m9,28sep2001
"42823610",20300,2001m9,28sep2001
"44106M10",102600,2001m9,28sep2001
"44993410",8000,2001m9,28sep2001
"46069010",163500,2001m9,28sep2001
"46115610",177640,2001m9,28sep2001
"47816010",71200,2001m9,28sep2001
"48268610",78200,2001m9,28sep2001
"51384710",449850,2001m9,28sep2001
"55254110",111300,2001m9,28sep2001
"55262C10",10000,2001m9,28sep2001
"57174810",3000,2001m9,28sep2001
"57459910",69500,2001m9,28sep2001
"58933110",17200,2001m9,28sep2001
"71708110",15900,2001m9,28sep2001
"71815410",259200,2001m9,28sep2001
"73173810",45450,2001m9,28sep2001
"74271810",26622,2001m9,28sep2001
"75127730",57750,2001m9,28sep2001
"76169510",77000,2001m9,28sep2001
"78223310",151400,2001m9,28sep2001
"78387G10",10526,2001m9,28sep2001
"80412020",30000,2001m9,28sep2001
"80685710",34000,2001m9,28sep2001
"81760N10",264415,2001m9,28sep2001
"86415910",46100,2001m9,28sep2001
"89102710",20000,2001m9,28sep2001
