crsp_fundno,date,mtna,mret,mnav,ticker,tm
5270,31-Jan-00,10.1,-0.0525304,14.79,APIMX,2000m1
5270,29-Feb-00,10.7,0.0371873,15.34,APIMX,2000m2
5270,31-Mar-00,11.6,0.0599739,16.26,APIMX,2000m3
5270,28-Apr-00,11.7,-0.0412054,15.59,APIMX,2000m4
5270,31-May-00,11.4,-0.035279,15.04,APIMX,2000m5
5270,30-Jun-00,12.1,0.0305851,15.5,APIMX,2000m6
5270,31-Jul-00,12.3,-0.0296774,15.04,APIMX,2000m7
5270,31-Aug-00,15.9,0.0910904,16.41,APIMX,2000m8
5270,29-Sep-00,14.9,-0.0524071,15.55,APIMX,2000m9
5270,31-Oct-00,15,-0.0758842,14.37,APIMX,2000m10
5270,30-Nov-00,13.6,-0.0821155,13.19,APIMX,2000m11
5270,29-Dec-00,13.5,0.0078902,12.96,APIMX,2000m12
5270,31-Jan-01,14.4,0.0524691,13.64,APIMX,2001m1
5270,28-Feb-01,13.1,-0.1165689,12.05,APIMX,2001m2
5270,30-Mar-01,12.5,-0.0854772,11.02,APIMX,2001m3
5270,30-Apr-01,13.5,0.1034483,12.16,APIMX,2001m4
5270,31-May-01,13.8,-0.0016447,12.14,APIMX,2001m5
5270,29-Jun-01,14.1,-0.0214168,11.88,APIMX,2001m6
5270,31-Jul-01,13.6,-0.0227273,11.61,APIMX,2001m7
5270,31-Aug-01,12.7,-0.0680448,10.82,APIMX,2001m8
5270,28-Sep-01,11.3,-0.1127542,9.6,APIMX,2001m9
5270,31-Oct-01,12.5,0.05625,10.14,APIMX,2001m10
5270,30-Nov-01,13.7,0.0897436,11.05,APIMX,2001m11
5270,31-Dec-01,14.1,0.0217195,11.29,APIMX,2001m12
5270,31-Jan-02,13.9,-0.0301151,10.95,APIMX,2002m1
5270,28-Feb-02,12.7,-0.0493151,10.41,APIMX,2002m2
5270,28-Mar-02,13.8,0.0585975,11.02,APIMX,2002m3
5270,30-Apr-02,13.5,-0.0635209,10.32,APIMX,2002m4
5270,31-May-02,13.9,-0.0222868,10.09,APIMX,2002m5
5270,28-Jun-02,12.8,-0.0812686,9.27,APIMX,2002m6
5270,31-Jul-02,11.6,-0.0873786,8.46,APIMX,2002m7
5270,30-Aug-02,12.1,0.0082742,8.53,APIMX,2002m8
5270,30-Sep-02,10.9,-0.1219226,7.49,APIMX,2002m9
5270,31-Oct-02,11.6,0.1121495,8.33,APIMX,2002m10
5270,29-Nov-02,12.8,0.0984394,9.15,APIMX,2002m11
5270,31-Dec-02,11.7,-0.0928962,8.3,APIMX,2002m12
5270,31-Jan-03,11,-0.0289157,8.06,APIMX,2003m1
5270,28-Feb-03,10.5,-0.0099256,7.98,APIMX,2003m2
5270,31-Mar-03,11.2,0.0062657,8.03,APIMX,2003m3
5270,30-Apr-03,12.9,0.0933998,8.78,APIMX,2003m4
5270,30-May-03,13.3,0.0569476,9.28,APIMX,2003m5
5270,30-Jun-03,13.9,0.0290948,9.55,APIMX,2003m6
5270,31-Jul-03,14.9,0.0429319,9.96,APIMX,2003m7
5270,29-Aug-03,16.3,0.0451807,10.41,APIMX,2003m8
5270,30-Sep-03,17,0,10.41,APIMX,2003m9
5270,31-Oct-03,18.5,0.0778098,11.22,APIMX,2003m10
5270,28-Nov-03,19.1,0.0071301,11.3,APIMX,2003m11
5270,31-Dec-03,19.8,0.0380531,11.73,APIMX,2003m12
5270,30-Jan-04,21.1,0.0443308,12.25,APIMX,2004m1
5270,27-Feb-04,21.7,0.0073469,12.34,APIMX,2004m2
5270,31-Mar-04,22.5,-0.0178282,12.12,APIMX,2004m3
5270,30-Apr-04,21.9,-0.0528053,11.48,APIMX,2004m4
5270,28-May-04,22.3,0.0261324,11.78,APIMX,2004m5
5270,30-Jun-04,23.4,0.0314092,12.15,APIMX,2004m6
5270,30-Jul-04,21.7,-0.072428,11.27,APIMX,2004m7
5270,31-Aug-04,19.3,-0.0070985,11.19,APIMX,2004m8
5270,30-Sep-04,18.7,0.028597,11.51,APIMX,2004m9
5270,29-Oct-04,23.8,0.0286707,11.84,APIMX,2004m10
5270,30-Nov-04,18,0.0827703,12.82,APIMX,2004m11
5270,31-Dec-04,18.5,0.0319813,13.23,APIMX,2004m12
5270,31-Jan-05,19.6,-0.0634921,12.39,APIMX,2005m1
5270,28-Feb-05,19.4,0.0355125,12.83,APIMX,2005m2
5270,31-Mar-05,18.3,-0.0319564,12.42,APIMX,2005m3
5270,29-Apr-05,17.8,-0.047504,11.83,APIMX,2005m4
5270,31-May-05,18.8,0.0819949,12.8,APIMX,2005m5
5270,30-Jun-05,3.9,0.0101562,12.93,APIMX,2005m6
5270,29-Jul-05,4.2,0.0657386,13.78,APIMX,2005m7
5270,31-Aug-05,4.2,-0.0261248,13.42,APIMX,2005m8
5270,30-Sep-05,4.4,0.0566319,14.18,APIMX,2005m9
5270,31-Oct-05,4.2,-0.0465444,13.52,APIMX,2005m10
5270,30-Nov-05,4.4,0.0673077,14.43,APIMX,2005m11
5270,30-Dec-05,4.5,0.0092305,13.91,APIMX,2005m12
5270,31-Jan-06,4.7,0.0575126,14.71,APIMX,2006m1
5270,28-Feb-06,4.7,0.0047587,14.78,APIMX,2006m2
5270,31-Mar-06,4.8,0.0081191,14.9,APIMX,2006m3
5270,28-Apr-06,4.2,0.0355705,15.43,APIMX,2006m4
5270,31-May-06,3.9,-0.0712897,14.33,APIMX,2006m5
5270,30-Jun-06,3.9,0,14.33,APIMX,2006m6
5270,31-Jul-06,4,0.0062805,14.42,APIMX,2006m7
5270,31-Aug-06,4.1,0.0277393,14.82,APIMX,2006m8
5270,29-Sep-06,4.2,0.0168691,15.07,APIMX,2006m9
5270,31-Oct-06,4.4,0.0510949,15.84,APIMX,2006m10
5270,30-Nov-06,4.6,0.0410354,16.49,APIMX,2006m11
5270,29-Dec-06,4.7,0.0254047,16.42,APIMX,2006m12
