cusip,tm,permno,ticker,price,ret
"02660910",2000m1,15667,"AHP",47.0625,.199044585
"03522910",2000m1,59184,"BUD",67.5,-.047619049
"05981530",2000m1,77881,"BDG",20.75,-.023529412
"08055510",2000m1,65509,"BLC",15.875,-.167213112
"08467010",2000m1,17778,"BRK",51200,-.087344028
"08467020",2000m1,83443,"BRK",1646,-.100546449
"09367110",2000m1,49373,"HRB",43.125,-.014285714
"11012210",2000m1,19393,"BMY",66.25,.035949368
"15677T10",2000m1,38914,"CEN",16,-.257971019
"17296710",2000m1,70519,"C",57,.023569023
"18905410",2000m1,46578,"CLX",47.75,-.048138957
"22420610",2000m1,77064,"JC",2.3125,-.383333325
"24903010",2000m1,11600,"XRAY",24.75,.047619049
"24950910",2000m1,79328,"DFS",19.1875,-.1519337
"29442910",2000m1,52476,"EFX",21.5,-.087533154
"31340030",2000m1,75789,"FRE",50.1875,.066401064
"31358610",2000m1,51043,"FNM",59.9375,-.035555556
"31996310",2000m1,77546,"FDC",49.0625,-.005069708
"32096010",2000m1,11371,"FHCC",29.8125,.109302327
"35346910",2000m1,77637,"FC",8,.103448279
"36473010",2000m1,47941,"GCI",69.5,-.147892714
"36665110",2000m1,79698,"IT",15.5625,.020491803
"36665120",2000m1,87030,"IT",13.625,-.013574661
"36960410",2000m1,12060,"GE",133.625,-.136510506
"39783810",2000m1,40097,"GREY",410,.025
"43157310",2000m1,52716,"HB",34,.072978303
"46069010",2000m1,53065,"IPG",46,-.202600211
"46115610",2000m1,82301,"IBI",30.375,-.295652181
"47816010",2000m1,22111,"JNJ",86.0625,-.077077746
"48108810",2000m1,42104,"JOS",23.4375,-.035989717
"48268610",2000m1,76195,"KSWS",12.375,-.333894014
"53932010",2000m1,49905,"LIZ",33.8125,-.101328902
"62952610",2000m1,81191,"NA",30.1875,-.041666668
"66978410",2000m1,83453,"NIS",30.125,-.045544554
"71708110",2000m1,21936,"PFE",36.1875,.115606934
"71815410",2000m1,13901,"MO",20.875,-.092391305
"74271810",2000m1,18163,"PG",101.0625,-.074660584
"75127730",2000m1,28353,"RAL",28.1875,.011210762
"76132M10",2000m1,66713,"RTRSY",90.125,.115235887
"76169510",2000m1,66799,"REY",22.125,-.016666668
"78387G10",2000m1,66093,"SBC",42.875,-.115512818
"81760N10",2000m1,71116,"SVM",14.3125,.16974619
"89102710",2000m1,62308,"TMK",25.1875,-.130236566
"89989610",2000m1,83462,"TUP",16.3125,-.036900368
"90478470",2000m1,28310,"UN",46.25,-.150401831
"90942010",2000m1,70252,"UAM",16,-.138047144
"91886610",2000m1,77461,"VCI",34,-.195266277
"93005920",2000m1,86380,"WDR",27.9375,.117213927
"95081710",2000m1,38906,"WSC",265,.081632651
"96647R10",2000m1,38973,"WH",12.5625,-.065116279
"02660910",2000m2,15667,"AHP",43.5,-.070810094
"03522910",2000m2,59184,"BUD",64,-.047407407
"05981530",2000m2,77881,"BDG",21.375,.030120483
"08055510",2000m2,65509,"BLC",12.875,-.18456693
"08467010",2000m2,17778,"BRK",44000,-.140625
"08467020",2000m2,83443,"BRK",1440,-.125151888
"09367110",2000m2,49373,"HRB",43.875,.017391304
"11012210",2000m2,19393,"BMY",57.25,-.135849059
"15677T10",2000m2,38914,"CEN",19.8125,.23828125
"17296710",2000m2,70519,"C",51.8125,-.088201754
"18905410",2000m2,46578,"CLX",40.4375,-.153141364
"22420610",2000m2,77064,"JC",2.1875,-.054054055
"24903010",2000m2,11600,"XRAY",25.625,.035353534
"24950910",2000m2,79328,"DFS",14.125,-.263843656
"29442910",2000m2,52476,"EFX",21.1875,-.010232558
"31340030",2000m2,75789,"FRE",41.75,-.16811955
"31358610",2000m2,51043,"FNM",53,-.115745567
"31996310",2000m2,77546,"FDC",45,-.082802549
"32096010",2000m2,11371,"FHCC",24.125,-.190775678
"35346910",2000m2,77637,"FC",8.1875,.0234375
"36473010",2000m2,47941,"GCI",65.1875,-.062050361
"36665110",2000m2,79698,"IT",14.3125,-.080321282
"36665120",2000m2,87030,"IT",11.8125,-.133027524
"36960410",2000m2,12060,"GE",132.375,-.009354537
"39783810",2000m2,40097,"GREY",396,-.031707317
"43157310",2000m2,52716,"HB",30.375,-.100735292
"46069010",2000m2,53065,"IPG",40.1875,-.124510869
"46115610",2000m2,82301,"IBI",32.6875,.076131687
"47816010",2000m2,22111,"JNJ",72,-.160145238
"48108810",2000m2,42104,"JOS",24.0625,.036053333
"48268610",2000m2,76195,"KSWS",11.125,-.101010099
"53932010",2000m2,49905,"LIZ",37.4375,.110536046
"62952610",2000m2,81191,"NA",29.25,-.031055901
"66978410",2000m2,83453,"NIS",23.0625,-.234439835
"71708110",2000m2,21936,"PFE",32.125,-.109775476
"71815410",2000m2,13901,"MO",20.1875,-.032934133
"74271810",2000m2,18163,"PG",87.875,-.13048856
"75127730",2000m2,28353,"RAL",28.3125,.007982261
"76132M10",2000m2,66713,"RTRSY",133.125,.477115124
"76169510",2000m2,66799,"REY",27.625,.248587564
"78387G10",2000m2,66093,"SBC",38.0625,-.112244897
"81760N10",2000m2,71116,"SVM",11,-.231441051
"89102710",2000m2,62308,"TMK",19.8125,-.2133995
"89989610",2000m2,83462,"TUP",17.1875,.053639848
"90478470",2000m2,28310,"UN",45.5,-.016216217
"90942010",2000m2,70252,"UAM",14.9375,-.06640625
"91886610",2000m2,77461,"VCI",27.6875,-.185661763
"93005920",2000m2,86380,"WDR",27.125,-.029082773
"95081710",2000m2,38906,"WSC",224.75,-.150735855
"96647R10",2000m2,38973,"WH",12.5,-.004975124
"02660910",2000m3,15667,"AHP",53.75,.235632181
"03522910",2000m3,59184,"BUD",62.25,-.02734375
"05981530",2000m3,77881,"BDG",22.625,.072280698
"08055510",2000m3,65509,"BLC",17.875,.388349503
"08467010",2000m3,17778,"BRK",57200,.300000012
"08467020",2000m3,83443,"BRK",1820,.263888896
"09367110",2000m3,49373,"HRB",44.75,.026210826
"11012210",2000m3,19393,"BMY",58,.013100437
"15677T10",2000m3,38914,"CEN",19.1875,-.03154574
